Player,Player ID,Age,Speciality,Exp,TSI,Salary,Form,Condition,Character,Aggressiveness,Honesty,Leadership,GK,DEF,PM,WG,PASS,SCO,SP,Last_Skills_Update
"Pawel Dedko,483130857,19.045,U,nędzny,200,1000,5,7,przyjemny,z charakterem,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Aleks Siejkowski,482863504,19.078,,nędzny,650,1160,4,9,kontrowersyjny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Fryderyk Kopec,483125321,18.038,,nędzny,5980,3400,8,6,kontrowersyjny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Wernher Kaider,483131979,19.017,H,nędzny,210,1160,2,7,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Piotr Baczkowski,483009881,19.001,P,nędzny,1190,1280,6,7,przyjemny,spokojny,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Fryderyk Bensz,483127719,18.066,P,nędzny,3640,1600,7,6,popularny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Szymon Woszczyk,482795674,18.024,,nędzny,5290,2440,7,7,popularny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Karol Sopala,483135463,18.032,,nędzny,230,1000,5,4,złośliwy,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Edward Milosek,483127219,18.05,U,nędzny,4330,1600,6,6,sympatyczny,porywczy,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Jan Drab,483125220,18.023,U,kiepski,7900,2760,7,6,przyjemny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Aleksander Mogila,483131332,18.026,T,nędzny,5560,3720,8,6,złośliwy,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jaroslaw Banas,482800345,18.03,P,nędzny,3650,3120,6,6,kontrowersyjny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Jozef Bierla,482796093,19.093,U,nędzny,1580,1800,6,5,kontrowersyjny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Juliusz Wygladacz,483126063,18.022,Q,nędzny,820,1280,4,4,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Gorzala,483122269,18.025,,nędzny,280,1080,6,5,przyjemny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Leszek Piechocki,483004842,18.06,,nędzny,1350,1320,6,5,przyjemny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Kamil Tchorzewski,482795676,18.031,H,nędzny,890,1280,5,7,sympatyczny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Bogusz Grygorczyk,482864518,19.022,H,nędzny,1070,1280,8,6,sympatyczny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Pawel Glinski,482793827,18.026,,nędzny,560,1480,3,5,przyjemny,spokojny,prawy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Cieslarczyk,483036534,18.027,U,kiepski,11750,9720,7,6,złośliwy,porywczy,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Marceli Pochylski,483117225,19.08,H,nędzny,1570,1360,5,6,przyjemny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Lukasz Sleczka,483124704,18.022,,nędzny,5970,6920,8,7,sympatyczny,opanowany,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Piotr Buski,483120186,19.051,,nędzny,120,1080,3,5,złośliwy,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Waldemar Tomaszuk,483135433,18.024,T,nędzny,4830,4600,6,6,kontrowersyjny,opanowany,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Romuald Gajo,482825500,18.029,P,nędzny,5310,2480,6,7,popularny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Mscibor Nasalski,483130979,18.107,U,nędzny,2010,1800,6,6,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Mikiewicz,482840318,18.027,H,nędzny,1290,1960,6,5,sympatyczny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Otto Inglot,483012666,19.106,H,nędzny,150,1080,3,5,kontrowersyjny,spokojny,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Konrad Stencel,483028445,18.056,U,nędzny,940,1280,4,5,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Prukop,483121827,18.023,,nędzny,6300,6520,5,6,popularny,porywczy,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Zbigniew Trebacz,483131161,18.022,,fatalny,1970,3800,6,6,sympatyczny,spokojny,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Florian Preidl,483130354,18.024,T,nędzny,1840,1520,6,6,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Bigajski,482839754,18.09,,nędzny,300,1240,5,4,sympatyczny,zrównoważony,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Lukasz Pilich,483127193,18.05,H,nędzny,760,1160,7,6,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Blum,482800632,18.055,U,nędzny,1050,1360,5,7,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jaroslaw Ciombor,482830000,20.029,H,nędzny,360,1160,3,4,przyjemny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Bronislaw Gorlo,483131606,18.038,Q,nędzny,6900,3480,7,7,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Gustaw Pozoga,482801302,18.024,,fatalny,1510,1560,4,7,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jakub Skarzycki,483128651,18.023,,nędzny,3310,3960,5,6,przyjemny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Czeslaw Skorus,483134889,18.029,T,nędzny,130,1080,4,4,popularny,spokojny,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Tereba,483127641,19.027,U,nędzny,280,1080,4,8,przyjemny,zrównoważony,szlachetny,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Walenty Lapacz,483076713,19.001,U,nędzny,1360,1440,8,6,kontrowersyjny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dawid Jedrys,483012669,18.023,P,nędzny,2960,1720,7,6,złośliwy,porywczy,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Wlodek,483125025,19.06,Q,kiepski,1000,1160,6,8,przyjemny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Baltazar Oldakowski,482795361,18.026,,nędzny,2050,3720,7,7,przyjemny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Jakub Zamrzycki,482793655,18.036,,nędzny,4060,2120,6,6,przyjemny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Zdzislaw Klatt,482794957,19.01,,nędzny,2730,1400,7,7,sympatyczny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Depka,483131106,18.036,H,nędzny,10410,5040,7,6,kontrowersyjny,opanowany,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Zygfryd Kempisty,482936023,19.083,,nędzny,200,1080,3,5,przyjemny,z charakterem,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Amadeusz Zwolak,483130793,18.023,,nędzny,430,1080,7,4,przyjemny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Maciej Drygas,483123330,18.022,,nędzny,7420,2600,8,6,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Gustaw Smokulec,482896364,18.023,P,nędzny,12250,12720,6,6,kontrowersyjny,z charakterem,podły,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Bodzek,483124727,18.023,T,nędzny,4890,4800,6,6,przyjemny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Janusz Harbuz,483126617,19.005,,nędzny,4160,3960,3,6,przyjemny,spokojny,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Zelazna,483130457,18.023,U,nędzny,6460,2760,7,7,sympatyczny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Feliks Graf,483130626,18.045,T,fatalny,290,1080,7,5,kontrowersyjny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Robert Gora,482793336,18.039,Q,nędzny,180,1080,3,4,sympatyczny,spokojny,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Roman Cichaczewski,482838494,18.024,,nędzny,510,1560,4,7,kontrowersyjny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Filip Czajor,482825447,19.031,T,nędzny,870,1080,6,6,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Radoslaw Fronczek,483125794,18.022,R,nędzny,9680,4880,7,6,sympatyczny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Bernard Dziurman,483129852,18.051,T,fatalny,1160,1160,6,7,przyjemny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Remigiusz Wawreszuk,483122181,18.027,,kiepski,3900,2360,6,6,sympatyczny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Jan Krystians,483118208,18.03,,nędzny,300,1080,6,5,sympatyczny,spokojny,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Emanuel Rolbiecki,483127188,18.023,T,nędzny,590,1080,4,8,przyjemny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Tomek Jedrzejko,482794996,18.028,T,nędzny,340,1280,4,6,przyjemny,spokojny,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Scibor Zbaraszewski,483134336,18.021,U,nędzny,14940,9440,6,6,przyjemny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Edward Wojtowicz,483135137,18.039,,fatalny,270,1080,6,5,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Fryderyk Cykowski,483119630,19.053,,nędzny,7010,2280,6,7,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Lisik,482796270,18.024,,nędzny,6280,4440,6,5,popularny,zrównoważony,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Alfred Siemiatycz,483119856,18.024,,nędzny,3200,1960,7,7,sympatyczny,zrównoważony,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Michal Chlopas,482838398,18.029,T,nędzny,3150,2680,3,7,przyjemny,z charakterem,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Czelusniak,483126755,18.023,Q,nędzny,3470,2920,5,6,złośliwy,z charakterem,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Leon Holc,482840271,18.026,T,nędzny,11030,9440,6,6,przyjemny,zrównoważony,szlachetny,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Karol Brenski,483132016,18.022,H,nędzny,140,1080,5,4,sympatyczny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Lukasz Figura,482802554,18.026,U,nędzny,2160,4880,4,5,przyjemny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Wojnas,482936032,18.084,U,nędzny,3460,1360,7,6,kontrowersyjny,spokojny,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Zygfryd Firlik,482830078,18.029,T,nędzny,8680,7600,7,6,przyjemny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Waldemar Kinast,483118566,18.023,S,kiepski,7250,5760,7,7,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Marcin Plocienniczak,483129732,19.046,U,kiepski,3220,2240,7,6,złośliwy,z charakterem,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Anastazy Grom,483125879,18.099,,fatalny,330,1400,3,6,popularny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Amadeusz Jedrejek,483118035,18.028,,nędzny,3150,3400,5,7,przyjemny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Machalica,482802500,18.072,U,fatalny,1250,1160,5,5,przyjemny,spokojny,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Piotr Wrobel,483125993,18.022,,fatalny,5370,5560,5,6,kontrowersyjny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Artur Telka,483033010,18.024,T,nędzny,1710,1600,6,5,złośliwy,opanowany,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Andrzej Skrzynecki,482800620,18.062,,nędzny,460,1320,6,5,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Maciej Cieciora,483125901,18.028,,nędzny,720,1160,6,6,sympatyczny,opanowany,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Maciej Patkowski,482825442,18.024,T,nędzny,5190,4160,6,6,sympatyczny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Maciej Pelczarski,482995304,18.023,Q,nędzny,350,2160,1,4,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Maciol,482798311,18.08,,nędzny,350,1080,3,4,przyjemny,porywczy,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Pafnucy Kobylkiewicz,483133043,18.021,Q,nędzny,2560,2160,7,6,sympatyczny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Dorian Aleksandrowicz,482796491,18.08,,fatalny,150,1000,3,5,kontrowersyjny,zrównoważony,podły,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Karol Chorylek,483131551,18.057,,nędzny,910,1320,4,5,przyjemny,zrównoważony,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Wladek Frackowiak,482837971,18.036,Q,nędzny,280,1160,7,5,sympatyczny,porywczy,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Pawel Wisniak,482802471,18.092,T,nędzny,4150,1440,6,7,przyjemny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Marian Osmolski,482825964,18.033,H,nędzny,850,1360,5,6,przyjemny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Ryszard Postolski,482826314,18.086,P,nędzny,2180,1160,8,6,sympatyczny,zrównoważony,szlachetny,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Marcin Bober,482863951,18.047,,nędzny,360,1320,3,5,sympatyczny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Bartlomiej Wojkowski,483122525,18.037,U,nędzny,260,1000,7,7,przyjemny,zrównoważony,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Edmund Stanczewski,483121301,18.023,,nędzny,8270,5400,5,6,przyjemny,zrównoważony,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Kubiec,483123114,18.032,,nędzny,2290,2760,8,7,kontrowersyjny,spokojny,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Daniel Prucnal,483134932,18.021,,kiepski,6890,4280,7,7,sympatyczny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Gniewosz Czmoch,483036311,18.035,U,nędzny,640,1080,6,4,przyjemny,opanowany,podły,słaby,-,-,-,-,-,-,-,08.08.2024"
"Aleksander Trzaskowski,483124696,18.022,,nędzny,13520,5400,6,6,złośliwy,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Roman Florian,483123956,18.046,,nędzny,10590,10760,5,6,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Pawel Walc,482811264,18.024,,nędzny,16300,18600,6,7,sympatyczny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Ignacy Andrearczyk,483121476,19.007,,nędzny,2230,1720,6,7,kontrowersyjny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Joachim Przybylko,483117969,18.034,Q,nędzny,8070,3280,8,6,sympatyczny,zrównoważony,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Marek Orkisz,483134085,18.021,,nędzny,540,1320,5,5,kontrowersyjny,zrównoważony,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Zygmunt Kalinski,483134740,18.021,T,nędzny,360,1160,7,5,przyjemny,zrównoważony,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Marek Wojnecki,483127286,19.052,P,nędzny,5680,4160,7,8,przyjemny,z charakterem,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Marcin Hernes,483129021,18.071,U,nędzny,2350,1360,4,6,złośliwy,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Grzanka,483123735,18.023,U,nędzny,620,3640,7,5,złośliwy,zrównoważony,nieuczciwy,zadowalający,5,7,2,1,1,1,3,08.08.2024"
"Lukasz Plebanek,482864484,18.023,Q,nędzny,8120,5240,5,6,przyjemny,opanowany,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Hebel,483132231,18.023,Q,kiepski,6660,3120,5,6,sympatyczny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Igor Brociek,483123201,18.102,,nędzny,280,1080,5,7,przyjemny,zrównoważony,nieuczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Barnaba Wegiel,483135200,18.021,U,nędzny,4350,2600,6,6,przyjemny,zrównoważony,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Piotr Pienkowski,482796573,18.03,,nędzny,3790,1560,7,6,sympatyczny,spokojny,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Filip Banachowicz,482864034,18.025,T,nędzny,2740,2400,8,6,przyjemny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jozef Gaj,483099502,18.024,,nędzny,4430,4600,8,6,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Konrad Prejzner,483118154,18.023,H,nędzny,7550,6120,7,7,kontrowersyjny,zrównoważony,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Gustaw Clapinski,482830242,19.027,U,nędzny,8850,4440,5,6,przyjemny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Kamionka,482793880,18.027,Q,nędzny,310,1160,3,5,sympatyczny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Sebastian Cyran,483132826,18.021,,nędzny,1110,1240,6,5,przyjemny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Wawrzonkiewicz,483132424,18.022,S,nędzny,390,1000,8,7,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Serhii Buriak,483004847,18.085,,nędzny,5320,1800,6,8,przyjemny,zrównoważony,podły,kiepski,1,5,7,3,8,6,1,08.08.2024"
"Donald Grzempa,483124894,18.038,P,fatalny,1240,1280,6,6,popularny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Leopold Falborski,483128147,18.066,P,fatalny,450,1280,4,5,kontrowersyjny,zrównoważony,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Cwiklinski,483127328,19.002,T,nędzny,530,1360,5,5,kontrowersyjny,porywczy,uczciwy,zadowalający,1,7,3,5,3,3,3,08.08.2024"
"Edmund Rogoza,482800299,18.024,Q,nędzny,13470,12360,7,8,kontrowersyjny,opanowany,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Pawel Pierzchalski,482837973,18.07,H,nędzny,720,1160,7,5,kontrowersyjny,zrównoważony,nieuczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Mieczyslaw Huzarewicz,483036536,18.023,,nędzny,760,1160,7,6,przyjemny,spokojny,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Ludwik Sotnicki,482826096,19.028,H,nędzny,2250,1360,8,7,kontrowersyjny,z charakterem,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Czelusta,482795029,18.024,P,nędzny,11610,11640,5,6,przyjemny,z charakterem,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"August Rukat,483099432,18.036,,nędzny,2570,1640,6,6,przyjemny,opanowany,uczciwy,przeciętny,1,6,4,5,6,7,6,08.08.2024"
"Waldemar Szada-Borzyszkowski,483127264,18.022,,nędzny,1430,1560,7,7,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Rozewski,482796369,18.093,U,kiepski,5060,1280,5,6,sympatyczny,zrównoważony,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Tessmer,482840402,18.09,P,nędzny,100,1000,5,4,sympatyczny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Olek Wrona,483120189,18.023,,nędzny,640,1240,8,4,kontrowersyjny,zrównoważony,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Marek Wydrowski,482793984,19.021,H,nędzny,1670,1520,6,5,kontrowersyjny,z charakterem,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Aleksander Browarczyk,483121590,18.024,T,nędzny,220,1360,2,5,sympatyczny,opanowany,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Zdzislaw Walawski,483128446,19.029,P,nędzny,4650,2480,7,6,popularny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Karol Pietrusiak,483134220,18.027,,nędzny,13900,12200,7,8,przyjemny,z charakterem,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Damian Arendt,483119289,18.024,Q,nędzny,9900,4440,7,6,przyjemny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Marian Ukleja,483009907,18.092,P,nędzny,670,1000,4,5,kontrowersyjny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Waldemar Klos,482918694,19.024,U,nędzny,3370,1800,8,7,popularny,zrównoważony,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Marcin Jordanek,483132233,18.035,,nędzny,660,1160,3,6,sympatyczny,z charakterem,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Robert Kamecki,483123228,18.022,,nędzny,3260,2920,7,6,kontrowersyjny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Kamionowski,483120807,18.023,,nędzny,7380,4840,6,7,kontrowersyjny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Horodecki,482840035,18.051,T,nędzny,670,1280,7,5,przyjemny,z charakterem,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wszemil Matuszczyk,483130645,18.026,P,nędzny,1040,1960,5,5,przyjemny,porywczy,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Slabik,482825502,18.038,,fatalny,230,1000,6,6,kontrowersyjny,porywczy,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Derek Hirschi,482794854,18.11,T,nędzny,20,1000,4,6,złośliwy,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Michal Kuropka,483118792,18.096,,nędzny,1090,3480,3,7,sympatyczny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Miegon,483092062,18.107,,nędzny,300,1160,2,6,przyjemny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Malga,483125594,19.012,,fatalny,1910,1720,7,6,przyjemny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Bachorz,483117819,18.032,H,nędzny,5480,3640,7,7,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Grzegorz Duchnowski,483117623,18.046,,nędzny,530,1160,5,5,sympatyczny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Krystian Rycyk,483123839,18.022,P,nędzny,8440,7960,7,6,złośliwy,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Baltazar Miskiewicz,483125648,18.083,,nędzny,330,1080,2,5,sympatyczny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Michal Czauderna,483040585,18.024,H,nędzny,70,1000,4,4,kontrowersyjny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Witold Ruszczyk,483099591,18.065,H,nędzny,10470,3200,7,6,sympatyczny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Smolen,483128958,18.023,Q,nędzny,7050,6440,4,6,przyjemny,spokojny,podły,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Marcin Sacharczuk,483130138,18.024,T,nędzny,6230,7680,5,5,kontrowersyjny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Filip Parzonka,483125372,18.023,,nędzny,12420,18440,6,7,sympatyczny,opanowany,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Adrian Popis,483130717,19.004,U,nędzny,220,1360,2,4,kontrowersyjny,z charakterem,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Cyprian Rabsztyn,483119682,18.026,U,kiepski,3600,3480,6,6,przyjemny,zrównoważony,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Jean-Marc Strableg,483120874,18.024,,nędzny,830,1240,4,6,przyjemny,z charakterem,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Alfred Maslaczek,483125197,18.03,P,nędzny,8980,4440,7,6,złośliwy,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Edwin Janczak,483125529,19.019,P,nędzny,4200,1800,6,7,przyjemny,opanowany,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
