"id,days in academy,speciality_academy,speciality,revealed day,speciality after promotion"
"Kazimierz Bajor,481871108,Q36,Q,36,Q"
"Leif Sedlmayr,481886380,,,,"
"Dominik Zawitowski,481889560,T63,T,63,T"
"Oskar Galeziewski,481869926,,,,"
"Wszemir Szendzielorz,481875641,U48,U,48,U"
"Piotr Teczar,481874958,P46,P,46,P"
"Henryk Radke,481889747,Q36,Q,36,Q"
"Idzislaw Szuszkiewicz,481907765,,,,"
"Andrzej Lubaszka,481875115,,,,"
"Maciej Prokopiak,481890363,,,,"
"Tomasz Gladki,481865468,Q35,Q,35,Q"
"Edward Trojnara,481862919,U67,U,67,U"
"Aureliusz Wojnar,481875021,,,,"
"Remigiusz Rawicki,481866908,,,,"
"Kazimierz Kosuda,481865559,,,,"
"Walerian Scislo,481877427,Q41,Q,41,Q"
"Sebastian Kurzela,481864968,,,,"
"Amadeusz Plochocki,481889332,Q120,Q,120,Q"
"Gustaw Tyski,481906841,,,,"
"Karol Garstka,481903467,T36,T,36,T"
"Dawid Szczepocki,481874728,Q42,Q,42,Q"
"Slawomir Lassak,481879749,Q43,Q,43,Q"
"Pawel Nocula,481882025,,,,"
"Grzegorz Orman,481903675,U116,U,116,U"
"Orest Kopowski,481874242,,,,"
"Patryk Osipiuk,481868501,U40,U,40,U"
"Kazimierz Klekowski,481865416,Q111,Q,111,Q"
"Piotr Baka,481883561,,,,"
"Franciszek Buchta,481874927,P146,P,146,P"
"Marcel Hartge,481874296,Q29,Q,29,Q"
"Krystian Gajowiak,481956377,H29,H,29,H"
"Robert Niewulis,481883224,H25,H,25,H"
"Wladyslaw Ziemba,481935933,H28,H,28,H"
"Maciej Przydatek,481876011,,,,"
"Kamil Milkiewicz,481889208,,,,"
"Miroslaw Wolicki,481902984,P84,P,84,P"
"Krystian Andrasz,481864718,,,,"
"Janusz Sep,481863744,,,,"
"Leonid Wszelaka,481893766,,,,"
"Wladyslaw Wilgocki,481963996,U27,U,27,U"
"Marian Paszylk,481880037,,,,"
"Marek Bystron,481861811,P-1,P,-1,P"
"Marek Rurka,481964015,Q53,Q,53,Q"
"Gniewosz Frasik,481894992,P29,P,29,P"
"Jedrzej Maniak,481879702,,,,"
"Roman Sendek,481872618,,,,"
"Miroslaw Chojnicki,481877949,,,,"
"Maciej Szmanda,481890142,,,,"
"Antoni Miskowicz,481884017,,,,"
"Dorian Lasica,481860016,,,,"
"Robert Mackiewicz,481883695,U39,U,39,U"
"Romuald Sitkowski,481877364,T29,T,29,T"
"Lucjusz Spala,481871044,H69,H,69,H"
"Marek Kwiatosz,481864329,,,,"
"Kacper Gubala,481874693,T21,T,21,T"
"Tomasz Buda,481874176,H15,H,15,H"
"Kazimierz Roslon,481879339,,,,"
"Kordian Amarowicz,481890491,H22,H,22,H"
"Scibor Strulak,481929310,T43,T,43,T"
"Hubert Siedlec,481914623,H8,H,8,H"
"Zygmunt Legutko,481871516,,,,"
"Jozef Lega,481871464,Q8,Q,8,Q"
"Daniel Maj,481878528,,,,"
"Julian Kopaczynski,481861729,H15,H,15,H"
"Walenty Bzyk,481877381,,,,"
"Adam Szulakowski,481883749,U81,U,81,U"
"Andrzej Kac,481866080,U37,U,37,U"
"Konrad Graczewski,481883261,,,,"
"Dawid Mandat,481892545,,,,"
"Marceli Kwiatek,481890410,Q22,Q,22,Q"
"Zygmunt Szczyglowski,481890630,U-1,U,-1,U"
"Roman Syski,481880066,Q44,Q,44,Q"
"Ignacy Wojdyr,481924007,H32,H,32,H"
"Filemon Tarabula,481885894,,,,"
"Jedrzej Lugowski,481878596,,,,"
"Waldemar Cios,481869491,P15,P,15,P"
"Gabriel Warulik,481893413,H22,H,22,H"
"Otto Pujanek,481860430,,,,"
"Przemyslaw Piwowarczyk,481914233,,,,"
"Karol Zelech,481864270,,,,"
"Polikarp Nagorski,481878061,,,,"
"Jakub Maslny,481865279,U21,U,21,U"
"Stanislaw Kazimierowski,481865356,U14,U,14,U"
"Antoni Grota,481952620,,,,"
"Dobrociech Wasiluk,481960669,T36,T,36,T"
"Pawel Slepowronski,481890184,,,,"
"Antoni Jarocinski,481874670,U55,U,55,U"
"Daniel Brzycki,481866714,U155,U,155,U"
"Dzierzyslaw Bronakowski,481876016,,,,"
"Marcel Minski,481869934,Q151,Q,151,Q"
"Radek Grochowina,481871460,,,,"
"Hubert Kierzek,481903370,T7,T,7,T"
"Czeslaw Kardasz,481878589,,,,"
"Ignacy Stykowski,481891580,,,,"
"Jan Kozdroj,481904649,,,,"
"Kazimierz Antos,481867343,,,,"
"Dariusz Sosnowka,481860765,,,,"
"Dariusz Pietrow,481870192,,,,"
"Leonid Rynkiewicz,481875822,Q153,Q,153,Q"
"Kiejstut Oleszczuk,481962691,U21,U,21,U"
"Mariusz Czech,481877936,,,,"
"Radoslaw Laskawski,481884394,,,,"
"Miroslaw Musolf,481869718,,,,"
"Ferdynand Wyborski,481929680,U22,U,22,U"
"Czeslaw Tylniak,481908120,,,,"
"Maciej Godlewski,481883702,U14,U,14,U"
"Bartek Blusiewicz,481889040,T81,T,81,T"
"Herman Soinski,481890011,,,,"
"Artur Kowalski,481860749,,,,"
"Jozef Zima,481877116,,,,"
"Kazimierz Hrycyna,481896242,T15,T,15,T"
"Marian Kniat,481889551,,,,"
"Wladyslaw Pronobis,481876607,,,,"
"Filip Ernest,481890214,,,,"
"Antoni Kubik,481890916,,,,"
"Wieslaw Gielarek,481882102,Q8,Q,8,Q"
"Maciej Krzywy,481865900,,,,"
"Janek Rajtar,481875860,,,,"
"Hilary Moszyk,481907116,,,,"
"Baltazar Marczuk,481888162,,,,"
"Leslaw Modrzewski,481870879,U8,U,8,U"
"Dariusz Trzesniowski,481891326,H64,H,64,H"
"Marek Kuczma,481890547,Q38,Q,38,Q"
"Sylwester Kiermaszek,481863363,,,,"
"Jakub Indycki,481890448,T80,T,80,T"
"Krzysztof Wegrzynowski,481892675,,,,"
"Artur Michalak,481914110,,,,"
"Marek Tretowski,481914797,,,,"
"Walery Gniewosz,481884813,,,,"
"Slawek Sacewicz,481877595,T-1,T,-1,T"
"Jacek Ogorek,481883856,P22,P,22,P"
"Robert Sklodowski,481889212,,,,"
"Jozef Klodzinski,481877064,,,,"
"Aleksander Lakowski,481869719,Q11,Q,11,Q"
"Zbigniew Dynarski,481881360,,,,"
"Apoloniusz Haniszewski,481884216,Q77,Q,77,Q"
"Krzysztof Kieruj,481891854,,,,"
"Juliusz Kolanczyk,481893810,H111,H,111,H"
"Frederic Birkenredder,481931801,,,,"
"Hubert Sztandera,481904620,P-1,P,-1,P"
"Patryk Linder,481883550,H89,H,89,H"
"Andrzej Debicki,481884312,U29,U,29,U"
"Jan Watras,481863262,,,,"
"Dariusz Tarchala,481889600,P13,P,13,P"
"Jan Kapturkiewicz,481863799,T43,T,43,T"
"Maciej Rycyniak,481862672,,,,"
"Julian Bednorz,481881708,U95,U,95,U"
"Bonifacy Pajer,481870580,,,,"
"Mieczyslaw Witwicki,481875990,T1,T,1,T"
"Albert Wieczorkowski,481891082,,,,"
"Dominik Gurski,481899653,U7,U,7,U"
"Slawomir Kropielnicki,481879701,U32,U,32,U"
"Maciej Redyk,481960666,T13,T,13,T"
"Ryszard Pazurek,481906886,,,,"
"Maksym Mieczynski,481889745,Q18,Q,18,Q"
"Wojciech Kujszczyk,481881235,,,,"
"Dariusz Pirowski,481879180,,,,"
"Tadek Bilek,481890545,,,,"
"August Nerc,481889481,U-1,U,-1,U"
"Dawid Maszejko,481891612,,,,"
"Michal Kluza,481874174,P1,P,1,P"
"Juliusz Bartman,481878695,,,,"
"Cieszymir Zamolski,481876214,,,,"
"Zygfryd Klose,481874442,,,,"
"Florian Paciej,481873923,,,,"
"Kamil Trybulec,481876567,,,,"
"Honoriusz Kozlowski,481902802,H-1,H,-1,H"
"Joachim Szumilak,481874030,,,,"
"Maciej Klimek,481904741,,,,"
"Gustaw Kwiecinski,481865412,P21,P,21,P"
"Bogusz Garczarek,481860357,Q7,Q,7,Q"
"Mikolaj Grygorowicz,481879267,T114,T,114,T"
"Franciszek Kraj,481866825,,,,"
"Dariusz Czarnuch,481876834,S113,S,113,S"
"Pawel Figura,481865935,,,,"
"Andrzej Niewiarowski,481865297,H-1,H,-1,H"
"Waldemar Moskaluk,481903064,,,,"
"Szymon Sotomski,481866363,,,,"
"Marek Klodnicki,481861579,,,,"
"Dawid Kaluza,481876695,U57,U,57,U"
"Jan Stypa,481962973,,,,"
"Miroslaw Balcerek,481890246,,,,"
"Ignacy Zawalich,481864477,P74,P,74,P"
"Witold Uliasz,481880455,P46,P,46,P"
"Eustachy Galaj,481903508,U126,U,126,U"
"Radoslaw Kubarski,481888704,U11,U,11,U"
"Gustaw Brodka,481888703,P71,P,71,P"
"Egon Zagorny,481892614,H39,H,39,H"
"Henryk Osikowski,481866030,H-1,H,-1,H"
"Filip Ferek,481875094,T-1,T,-1,T"
"Waldemar Sasinski,481869044,,,,"
"Piotr Piesiewicz,481879192,P193,P,193,P"
"Dawid Kaluza,481876695,U57,U,57,U"
"Henryk Osikowski,481866030,H-1,H,-1,H"
"Tadeusz Mac,481889548,T123,T,123,T"
"Piotr Nasilowski,481871558,Q46,Q,46,Q"
"Jan Frankiewicz,481866659,,,,"
"Hubert Bartkowiak,481884150,S8,S,8,S"
"Kuba Brzykcy,481884399,,,,"
"Robert Cieslawski,481893390,T15,T,15,T"
"Krzysztof Wstydliwy,481884207,,,,"
"Rafal Opala,481891168,,,,"
"Wolf Novgorod,481896205,T1,T,1,T"
"Juliusz Rogocki,481889647,,,,"
"Lucjan Cewotyn,481907394,T32,T,32,T"
"Ferdynand Skop,481865718,,,,"
"Waldemar Potrzebowski,481889501,,,,"
"Cyryl Zytko,481883995,,,,"
"Jedrzej Falenta,481891909,H36,H,36,H"
"Radoslaw Drapala,481879607,T67,T,67,T"
"Arkadiusz Kuchnia,481886169,,,,"
"Tadeusz Zdunski,481889556,,,,"
"Mieczyslaw Pantak,481881160,,,,"
"Roman Ziemek,481881927,,,,"
"Dariusz Szmer,481903132,,,,"
"Patryk Januszyk,481860733,Q0,Q,0,Q"
"Walerian Owca,481863920,,,,"
"Fryderyk Miter,481903089,,,,"
"Ambrozy Breza,481872738,,,,"
"Marek Karwecki,481876979,P1,P,1,P"
"Filip Ral,481889545,,,,"
"Krzysztof Cyganik,481863989,,,,"
"Jan Kroliczak,481891609,Q5,Q,5,Q"
"Radoslaw Lewy,481862021,P17,P,17,P"
"Marcin Jarzebak,481872231,,,,"
"Mariusz Kedra,481886638,P7,P,7,P"
"Rudolf Giertak,481871833,U0,U,0,U"
"Dominik Fandrejewski,481877149,U29,U,29,U"
"Sieciech Wloszczyk,481864570,Q1,Q,1,Q"
"Kazimierz Biegalski,481872090,,,,"
"Zdzislaw Greniuk,481878497,,,,"
"Wlodzimierz Gosciewski,481860794,P66,P,66,P"
"Waclaw Osowicki,481875266,Q12,Q,12,Q"
"Krzysztof Szopa,481890861,,,,"
"Stanislaw Boczar,481882028,P23,P,23,P"
"Patryk Zabrzenski,481860822,,,,"
"Pawel Wisniewski,481889754,,,,"
"Lukasz Kordzinski,481906847,Q1,Q,1,Q"
"Marek Goralewski,481899411,T18,T,18,T"
"Radoslaw Kozera,481884737,H1,H,1,H"
"Franciszek Dynkowski,481878008,S1,S,1,S"
"Wiktor Mrugala,481889607,P29,P,29,P"
"Slawomir Wyrebek,481876805,P18,P,18,P"
"Boguchwal Utrata,481875528,T52,T,52,T"
"Zenon Godek,481877940,,,,"
"Waclaw Markuszewski,481888564,U25,U,25,U"
"Marcin Dubik,481871712,,,,"
"Ryszard Wojdalski,481876069,,,,"
"Emilian Wesierski,481926018,H-1,H,-1,H"
"Janusz Jarmola,481876212,Q8,Q,8,Q"
"Zygmunt Szymko,481860746,Q7,Q,7,Q"
"Krzysztof Konieczka,481867778,T60,T,60,T"
"Jakub Grzegorzyca,481903470,U45,U,45,U"
"Arnold Himilsbach,481861962,,,,"
"Alfred Swinarski,481880976,Q102,Q,102,Q"
"Amadeusz Panfilow,481894201,,,,"
"Tomasz Bejgier,481861393,,,,"
"Andrzej Rzanek,481875998,,,,"
"Jaroslaw Czachorowski,481881393,,,,"
"Miroslaw Nagajek,481888782,P-1,P,-1,P"
"Oswald Kulwicki,481882144,,,,"
"Ernest Felczerek,481874212,H1,H,1,H"
"Lukasz Barylski,481870449,Q-1,Q,-1,Q"
"Stanislaw Dyl,481874495,,,,"
"Maciej Hajn,481877392,U11,U,11,U"
"Bernard Tomaszczyk,481888562,,,,"
"Florian Gieraltowski,481862138,U16,U,16,U"
"Jedrzej Jaroszewicz,481896237,Q6,Q,6,Q"
"Mieczyslaw Bargiel,481866428,,,,"
"Lukasz Fundakowski,481875991,,,,"
"Leon Surdyka,481884318,H42,H,42,H"
"Edmund Karkowski,481885772,T14,T,14,T"
"Lukasz Ustianowski,481861048,Q20,Q,20,Q"
"Jakub Gubanski,481870028,,,,"
"Bogdan Dabrowa,481875610,H102,H,102,H"
"Cyprian Palewicz,481877739,T1,T,1,T"
"Bogumil Danczuk,481891583,U-1,U,-1,U"
"Lech Bortel,481877948,,,,"
"Aleks Filiks,481875523,,,,"
"Andrzej Bracha,481883346,,,,"
"Czeslaw Machala,481893346,T4,T,4,T"
"Przemyslaw Wolniaczyk,481896203,U14,U,14,U"
"Tomasz Siecinski,481865631,H1,H,1,H"
"Przemyslaw Bialowas,481877769,T-1,T,-1,T"
"Zdzislaw Herbut,481895338,,,,"
"Telesfor Mikielewicz,481865938,U10,U,10,U"
"Ireneusz Jarzynka,481881349,,,,"
"Dietmut Gambrowski,481881899,,,,"
"Kasjan Ozimek,481865214,,,,"
"Antoni Krepski,481865565,Q28,Q,28,Q"
"Adrian Hrynczyszyn,481869805,U-1,U,-1,U"
"Olgierd Kierzkowski,481881051,,,,"
"Stanislaw Kliber,481890643,U18,U,18,U"
"Aleks Ziegert,481891421,,,,"
"Karol Chodkiewicz,481866146,,,,"
"Maciej Siemianowski,481874965,H1,H,1,H"
"Joachim Sobieszczak,481875988,,,,"
"Krzysztof Polajdowicz,481870810,,,,"
"Sebastian Ryjak,481890501,U17,U,17,U"
"Sebastian Labaszewski,481872308,Q10,Q,10,Q"
"Alfred Holody,481868497,P1,P,1,P"
"Walter Jawor,481882955,,,,"
"Edward Kanclerz,481865940,Q-1,Q,-1,Q"
"Udo Schatze,481890301,,,,"
"Leon Gad,481893296,P52,P,52,P"
"Tymoteusz Nowara,481877477,H1,H,1,H"
"Dominik Maciejasz,481869896,H0,H,0,H"
"Zygmunt Smolik,481974730,,,,"
"Edgar Zadrozny,481881795,T27,T,27,T"
"Tomasz Hryniuk,481891088,,,,"
"Zygfryd Pempera,481907019,H29,H,29,H"
"Juliusz Lempkowski,481895489,,,,"
"Zenon Korulski,481889752,,,,"
"Bogdan Fajkis,481889786,U9,U,9,U"
"Fabian Wiaderna,481917577,,,,"
"Edward Stopa,481881361,H20,H,20,H"
"Aleksander Dutkowski,481870165,,,,"
"Jakub Wierzgon,481973512,T54,T,54,T"
"Teofan Kuleshevych,481957348,Q27,Q,27,Q"
"Jackson Ngumi,482040644,,,,"
"Kamarrie Njeru,481837934,,,,"
"Kamara Macharia,482043701,,,,"
"Tabu Korir,482035655,,,,"
"Thomas Kariuki,481486053,,,,"
"Wilson Michieka,481860361,Q63,Q,63,Q"
"Jeremiah Nguku,482044979,Q43,Q,43,Q"
"Joshua Kipchoge,481863698,,,,"
"Jeremiah Mbareck,481642828,T136,T,136,T"
"Chuma Njoroge,481840866,T-1,T,-1,T"
"Samuel Lihalakha,482031692,,,,"
"George Fwaya,481826045,S34,S,34,S"
"Bwana Cheruiyot,481854712,Q35,Q,35,Q"
"Parmenas Masamba,481832709,Q21,Q,21,Q"
"Hamidi Kirwa,481994596,T45,T,45,T"
"Elisha Komen,481838241,T14,T,14,T"
"Yussef Nyingi,481707099,Q89,Q,89,Q"
"Jelani Nyingi,481995897,,,,"
"Brian Kamande,481607506,,,,"
"Khamisi Kemboi,481929712,T-1,T,-1,T"
"Azizi Akivaga,482035480,P14,P,14,P"
"Wilson Kigwe,481712437,,,,"
"Robbie Trump,482026157,,,,"
"Ousmane Kangeri,481986078,U-1,U,-1,U"
"Paka Githuku,481896307,Q97,Q,97,Q"
"Sadaka Kisulu,482031362,,,,"
"Mwaka Kihiu,481879688,,,,"
"Zahun Mukuha,482034014,U0,U,0,U"
"Moses Kimani,481889617,H23,H,23,H"
"Noah Muthee,481840061,Q101,Q,101,Q"
"Owen Turner,481711015,,,,"
"Ousmane Icharia,482049054,P0,P,0,P"
"Omari Machuka,481607508,,,,"
"Hamadi Mitei,481846280,U3,U,3,U"
"Saade Wanjohi,481902594,Q27,Q,27,Q"
"Isaiah Fwaya,481998823,Q35,Q,35,Q"
"Yusef Kariuki,481487062,P-1,P,-1,P"
"Machupa Misoi,481853748,,,,"
"Tabu Matilu,481998888,,,,"
"Kamaria Kirwa,481853958,T62,T,62,T"
"Kondo Kimaiyo,481707338,,,,"
"Paka Meyo,482032222,H3,H,3,H"
"Masud Machuka,482031749,P76,P,76,P"
"Bogdan Trytko,482044588,U105,U,105,U"
"Antoni Noszczyk,482009096,P134,P,134,P"
"Jakub Wdzieczna,482041479,,,,"
"Stefan Musil,482035385,T224,T,224,T"
"Marcin Kuszyk,482019024,,,,"
"Daniel Tomaszek,482035883,H,H,,H"
"Amadeusz Soplica,482031572,,,,"
"Antoni Januchta,482016572,Q,Q,,Q"
"Boguslaw Wilenski,482035493,P175,P,175,P"
"Grzegorz Milewicz,482031777,,,,"
"Borys Zielinski,482039216,U,U,,U"
"Radoslaw Malag,482037122,,,,"
"Stanislaw Trocewicz,482041738,,,,"
"Bronislaw Redestowicz,482007638,Q,Q,,Q"
"Mariusz Stawny,482050623,,,,"
"Radoslaw Gorny,482037254,,,,"
"Stanislaw Nagadowski,482023347,H,H,,H"
"Jozef Bargielski,482022931,T,T,,T"
"Emil Zagrodzki,482002917,,,,"
"Jakub Gluszkiewicz,482015644,Q,Q,,Q"
"Michal Szadkowski,482005244,Q,Q,,Q"
"Bertram Kopowski,482037821,Q,Q,,Q"
"Juliusz Bacal,481985595,H,H,,H"
"Amadeusz Krajnik,482032579,Q,Q,,Q"
"Bartlomiej Wojtyniak,482035506,,,,"
"Konrad Basinski,482012225,,,,"
"Witold Lazarz,481985809,,,,"
"Walerian Jarzyna,481997008,,,,"
"Lukasz Droszcz,482037252,T148,T,148,T"
"Jan Hadyk,482039660,U195,U,195,U"
"Robert Borowczak,481988158,U152,U,152,U"
"Andrzej Bziuk,482011876,,,,"
"Ireneusz Kosmala,481988894,,,,"
"Julian Harezlak,482035410,T140,T,140,T"
"Lech Harasymowicz,481997310,,,,"
"Bronislaw Lecki,482039948,Q-1,Q,-1,Q"
"Przemyslaw Fijol,482042000,H147,H,147,H"
"Jerzy Werwinski,482033756,,,,"
"Bonifacy Wysocki,482032137,,,,"
"Marcin Filus,482039665,,,,"
"Marcin Czaj,482037739,,,,"
"Ryszard Malesza,482027251,,,,"
"Przemyslaw Kozieja,482031499,,,,"
"Aleksander Weglewski,482026335,,,,"
"Marcin Niewielak,482037592,T,T,,T"
"Piotr Klim,482033430,T,T,,T"
"Dominik Strzecha,482029893,,,,"
"Marian Grabczynski,482012534,U126,U,126,U"
"Damian Lusiak,481994223,,,,"
"Mieczyslaw Lisak,482046880,,,,"
"Filip Mamok,482033953,Q,Q,,Q"
"Krzysztof Golebiewski,482036346,,,,"
"Ferdinand Heitzinger,482048228,,,,"
"Pawel Juszynski,482031511,T,T,,T"
"Kajetan Wrebiak,482032672,H105,H,105,H"
"Daniel Jalkiewicz,482036660,,,,"
"Adrian Rossowski,481986201,T,T,,T"
"Kuba Glowacz,482016787,T255,T,255,T"
"Marcin Pytkowski,482032518,,,,"
"Antoni Nagoda,482039967,,,,"
"Wojciech Kluz,482031468,Q,Q,,Q"
"Telesfor Wargula,481985602,,,,"
"Ryszard Kamela,482035581,,,,"
"Wladyslaw Aulich,482043820,,,,"
"Mscigniew Korpik,482035375,,,,"
"Wiktor Galecki,482029537,H,H,,H"
"Dymitr Naruszewicz,482026501,T,T,,T"
"Wlodzimierz Kutyna,482033400,H105,H,105,H"
"Waldemar Sciana,481994959,R246,R,246,R"
"Edmund Wierzchucki,482015375,,,,"
"Dawid Czarniak,482036031,,,,"
"Mieczyslaw Reinke,482039914,U,U,,U"
"Andrzej Jachowski,482034685,,,,"
"Dariusz Podeszwa,481996778,U105,U,105,U"
"Juliusz Jednacz,482036033,,,,"
"Marian Molasy,482011974,Q,Q,,Q"
"Piotr Kurzynski,481994996,,,,"
"Marcin Kaszubiec,482028232,,,,"
"Bogdan Domurat,482035421,,,,"
"Daniel Marzec,482035983,P,P,,P"
"Damian Jasiorowski,482031724,,,,"
"Andrzej Pociask,482028508,,,,"
"Leon Przybylko,481993672,P69,P,69,P"
"Adrian Hola,482047254,,,,"
"Leopold Szczupak,482030973,H204,H,204,H"
"Mateusz Piaszczynski,482039529,,,,"
"Przemyslaw Klimala,481994211,,,,"
"Teofil Bazylewicz,482031695,H92,H,92,H"
"Piotr Cygan,482000048,U,U,,U"
"Roman Rzymkowski,482033461,,,,"
"Tomasz Stepaniuk,482035422,P,P,,P"
"Isydor Kasian,482026291,,,,"
"Czeslaw Darecki,482038349,T70,T,70,T"
"Feliks Placzek,482036001,,,,"
"Jakub Zolkowski,482032998,H291,H,291,H"
"Amadeusz Matoga,482037229,T92,T,92,T"
"Szymon Michalski,482001598,P,P,,P"
"Przemyslaw Skreta,482001890,,,,"
"Stanislaw Nalecz,482032009,H73,H,73,H"
"Tomasz Magdziarz,482037127,U200,U,200,U"
"Lucjan Wozniczka,481991531,P-1,P,-1,P"
"Gustaw Ogloza,482027717,H84,H,84,H"
"Jerzy Sady,482035332,,,,"
"Tomasz Bobinski,482034364,,,,"
"Mieszko Pytlak,482005711,,,,"
"Igor Piaseczny,481995108,Q,Q,,Q"
"Augustyn Ciborowski,482031443,U,U,,U"
"Artur Matyjek,481989627,H-1,H,-1,H"
"Piotr Swica,482043044,,,,"
"Tobiasz Nalepka,482043360,,,,"
"Tadeusz Olechnowicz,481998709,,,,"
"Hieronim Dec,481994720,Q-1,Q,-1,Q"
"Cyryl Jaszczerski,482038151,,,,"
"Thomas Duppel,482034385,Q95,Q,95,Q"
"Miroslaw Polom,482036775,,,,"
"Sebastian Ryczko,482045426,Q,Q,,Q"
"Gerard Zelek,482021136,,,,"
"Adrian Gradys,481997144,,,,"
"Leslaw Maruszewski,482046514,,,,"
"Onufry Broncel,481994437,H180,H,180,H"
"Erast Darienko,482034983,T,T,,T"
"Mariusz Pyszniak,482032217,T71,T,71,T"
"Oleh Chernenko,482002327,Q84,Q,84,Q"
"Adam Krajewski,481986893,,,,"
"Robert Kielich,482020321,U,U,,U"
"Waldemar Nenko,482035075,,,,"
"Maciej Dluzewski,481995498,,,,"
"Marian Jamrozik,482034909,,,,"
"Maurycy Grzybek,482033469,U-1,U,-1,U"
"Henryk Lazecki,482042960,,,,"
"Wiktor Szecowka,482026569,U126,U,126,U"
"Kamil Fornalik,481994019,P85,P,85,P"
"Bohdan Rychlik,481998814,U69,U,69,U"
"Slawomir Pilawka,481998808,Q99,Q,99,Q"
"Irek Linke,482030668,,,,"
"Bartlomiej Kozak,481994274,,,,"
"Adrian Kaciuba,482028669,S,S,,S"
"Zdzislaw Kustera,482041031,T,T,,T"
"Franciszek Zalog,482037117,P,P,,P"
"Tomasz Sypniewicz,482034251,,,,"
"Piotr Musiolik,482024179,,,,"
"Jerzy Pudo,481985593,T221,T,221,T"
"Jurand Szakola,482042393,Q77,Q,77,Q"
"Karol Matuszek,482042382,H99,H,99,H"
"Witold Horniak,482036221,,,,"
"Piotr Matz,482002269,P93,P,93,P"
"Stanislaw Fornal,482041649,T120,T,120,T"
"Leopold Drozdz,482002010,U,U,,U"
"Wieslaw Jastrowicz,482001364,,,,"
"Damian Pekala,482047030,Q71,Q,71,Q"
"Pawel Kozicki,482031744,,,,"
"Jan Franciszkowski,482034276,Q,Q,,Q"
"Donald Nadzieja,482038081,Q169,Q,169,Q"
"Czeslaw Zys,481998068,T,T,,T"
"Czeslaw Plonka,482034684,,,,"
"Hieronim Chwalek,482050251,,,,"
"Piotr Danilowski,481989906,,,,"
"Arkadiusz Bakuba,482035852,,,,"
"Teofil Kedra,482040945,T,T,,T"
"Lukasz Tuz,482030193,Q123,Q,123,Q"
"Martin Tanski,482046511,,,,"
"Tomasz Duplicki,482031531,Q70,Q,70,Q"
"Edward Kloda,482021902,,,,"
"Przemyslaw Gulak,482036220,U,U,,U"
"Piotr Kiszczak,482033420,,,,"
"Janusz Imiolczyk,482042908,U76,U,76,U"
"Ludwik Musialik,482039837,U,U,,U"
"Emilian Krzyzek,482031754,T104,T,104,T"
"Hanns-Georg Frankl,482049599,,,,"
"Dawid Stobba,482037213,,,,"
"Damian Stodolny,482015919,,,,"
"Andrzej Mamulak,482010647,T94,T,94,T"
"Wiktorian Ziec,482013141,,,,"
"Krzysztof Skierka,482041961,,,,"
"Daniel Prucnal,482032022,,,,"
"Pawel Ceremuga,481988250,,,,"
"Jozef Gregula,482032088,,,,"
"Pawel Nabialczyk,482013934,Q,Q,,Q"
"Roman Szych,482037722,Q95,Q,95,Q"
"Bronislaw Talarczyk,482026420,T105,T,105,T"
"Szymon Galant,482044542,U,U,,U"
"Bronislaw Gros,482000815,Q,Q,,Q"
"Edmund Czakanski,481990841,H,H,,H"
"Roland Kiljan,482035522,,,,"
"Symon Dirka,482043476,,,,"
"Marcel Kouba,482043143,U,U,,U"
"Mikolaj Samel,481995773,H,H,,H"
"Sebastian Moszka,482031721,H,H,,H"
"Slawomir Majecki,481995428,H71,H,71,H"
"Kazimierz Bukowski,482035614,Q190,Q,190,Q"
"Mateusz Piotrowski,482030443,P,P,,P"
"Jakub Zemlik,482046157,,,,"
"Piotr Mieszczynski,482020183,,,,"
"Mariusz Grzegorowski,482049943,P107,P,107,P"
"Walter Wrotek,482042876,,,,"
"Witold Karolczak,482019011,P,P,,P"
"Patryk Ciekot,482033159,,,,"
"Marceli Zdunek,482031225,P132,P,132,P"
"Gustaw Grzybiecki,481994294,,,,"
"Andrzej Dziurawiec,481997560,,,,"
"Dawid Radzimski,482031394,T137,T,137,T"
"Lucjan Lekawski,482030869,,,,"
"Przemyslaw Mirinow,482028712,,,,"
"Tymon Lasecki,482042799,,,,"
"Stefan Szczypkowski,482003032,H159,H,159,H"
"Dawid Miasko,481994209,U,U,,U"
"Fryderyk Czekala,482005000,,,,"
"Boguslaw Rohde,482035807,H,H,,H"
"Ryszard Jeziorski,482011287,P118,P,118,P"
"Baltazar Elas,482040675,,,,"
"Ryszard Derbis,482032132,P105,P,105,P"
"Rafal Ludwicki,482051976,P210,P,210,P"
"Marek Stachowski,481991321,,,,"
"Wincenty Fiedorczyk,482003029,,,,"
"Ignacy Ornatowski,482016630,,,,"
"Kazimierz Naglik,482024207,Q,Q,,Q"
"Waldemar Krzyzewski,482036302,T-1,T,-1,T"
"Marcin Podwysocki,482032318,U178,U,178,U"
"Jerzy Radzicki,481986093,,,,"
"Szymon Hachorek,481997930,U84,U,84,U"
"Danylo Liulka,481985024,,,,"
"Stanislaw Cyps Albo Zyps,482039221,,,,"
"Mateusz Korsak,482031624,U120,U,120,U"
"Krzysztof Puszcz,481995867,,,,"
"Jozef Matla,481984204,Q,Q,,Q"
"Denys Drahan,482049466,H,H,,H"
"Otton Pyzik,482029427,U,U,,U"
"Piotr Lebek,481994160,,,,"
"Piotr Bledowski,482051186,H109,H,109,H"
"Achacy Grzejszczak,482031286,,,,"
"Slawomir Dygas,482026362,,,,"
"Alfred Zoladkiewicz,482041839,,,,"
